title,year,duration,genre,rating,movie_url
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,http://web.archive.org/web/20200714035946/https://www.imdb.com/title/tt0111161/
Psycho ,1960,1h 49min,Horror,8.5,http://web.archive.org/web/20200714055053/https://www.imdb.com/title/tt0054215/
Back to the Future ,1985,1h 56min,Adventure,8.5,http://web.archive.org/web/20200714232538/https://www.imdb.com/title/tt0088763/
Casablanca ,1942,1h 42min,Drama,8.5,http://web.archive.org/web/20200714051627/https://www.imdb.com/title/tt0034583/
Nuovo Cinema Paradiso ,1988,2h 35min,Drama,8.5,http://web.archive.org/web/20200714170157/https://www.imdb.com/title/tt0095765/
Gladiator ,2000,2h 35min,Action,8.5,http://web.archive.org/web/20200715145330/http://www.imdb.com/title/tt0172495/
American History X ,1998,1h 59min,Drama,8.5,http://web.archive.org/web/20200714080333/https://www.imdb.com/title/tt0120586/
Once Upon a Time in the West ,1968,2h 45min,Western,8.5,http://web.archive.org/web/20200715151431/https://www.imdb.com/title/tt0064116/
The Usual Suspects ,1995,1h 46min,Crime,8.5,http://web.archive.org/web/20200714053116/https://www.imdb.com/title/tt0114814/
Die letzten Glühwürmchen ,1988,1h 29min,Animation,8.5,http://web.archive.org/web/20200715053537/https://www.imdb.com/title/tt0095327/
The Lion King ,1994,1h 28min,Animation,8.5,http://web.archive.org/web/20200716172136/https://www.imdb.com/title/tt0110357/
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,http://web.archive.org/web/20200712022126/https://www.imdb.com/title/tt0103064/
Léon ,1994,1h 50min,Action,8.5,http://web.archive.org/web/20200715072507/https://www.imdb.com/title/tt0110413/
The Pianist ,2002,2h 30min,Biography,8.5,http://web.archive.org/web/20200715094805/https://www.imdb.com/title/tt0253474/
The Departed ,2006,2h 31min,Crime,8.5,http://web.archive.org/web/20200714052524/https://www.imdb.com/title/tt0407887/
Whiplash ,2014,1h 46min,Drama,8.5,http://web.archive.org/web/20200714080433/https://www.imdb.com/title/tt2582802/
The Prestige ,2006,2h 10min,Drama,8.5,http://web.archive.org/web/20200716173241/https://www.imdb.com/title/tt0482571/
Joker ,2019,2h 2min,Crime,8.5,http://web.archive.org/web/20200714122119/https://www.imdb.com/title/tt7286456/
The Intouchables ,2011,1h 52min,Biography,8.5,http://web.archive.org/web/20200714080353/https://www.imdb.com/title/tt1675434/
Anand ,1971,2h 2min,Drama,8.6,http://web.archive.org/web/20200714090047/https://www.imdb.com/title/tt0066763/
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,http://web.archive.org/web/20200714055953/https://www.imdb.com/title/tt0038650/
Seven Samurai ,1954,3h 27min,Action,8.6,http://web.archive.org/web/20200716171253/https://www.imdb.com/title/tt0047478/
Star Wars: Episode IV - A New Hope ,1977,2h 1min,Action,8.6,http://web.archive.org/web/20200716171627/https://www.imdb.com/title/tt0076759/
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,http://web.archive.org/web/20200715044236/https://www.imdb.com/title/tt0102926/
Children of Heaven ,1997,1h 29min,Drama,8.3,http://web.archive.org/web/20210206174309/https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt
Reservoir Dogs ,1992,1h 39min,Crime,8.3,http://web.archive.org/web/20210224171212/http://www.imdb.com/title/tt0105236/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220717065914/https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20211010205540/https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20210918202017/https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220325181527/https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt
Amélie ,2001,2h 2min,Comedy,8.3,http://web.archive.org/web/20210508153024/https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220514040500/https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20210714064358/https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20221225172523/https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220416211307/https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220618122023/https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt
A Separation ,2011,2h 3min,,8.3,http://web.archive.org/web/20180415010638/http://www.imdb.com/title/tt1832382/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220708205957/https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220615192317/https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20211006091513/https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220504081547/https://www.imdb.com/title/tt10272386/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220604082723/https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20221221133844/https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220816180505/https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220427172015/https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt
Raiders of the Lost Ark ,1981,1h 55min,Action,8.4,http://web.archive.org/web/20200101195559/https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220628083805/https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220514040604/https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt
Memento ,2000,1h 53min,Mystery,8.4,http://web.archive.org/web/20201224073754/https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220815184702/https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220710160158/https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20221217023346/https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220715115031/https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20210714064312/https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220325181512/https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt
Taare Zameen Par ,2007,2h 45min,Drama,8.4,http://web.archive.org/web/20200724145354/https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt
Django Unchained ,2012,2h 45min,Drama,8.4,http://web.archive.org/web/20210225021748/http://www.imdb.com/title/tt1853728/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220530100713/https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220414175320/https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220614045854/https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt
